Künstler,Titel
Queen,Bohemian Rhapsody
Eagles,Hotel California
Led Zeppelin,Stairway to Heaven
John Lennon,Imagine
Bob Dylan,Like a Rolling Stone
The Beatles,Hey Jude
Michael Jackson,Thriller
Nirvana,Smells Like Teen Spirit
Michael Jackson,Billie Jean
Guns N' Roses,Sweet Child o' Mine
The Beatles,Yesterday
Sting,Shape of My Heart
Guns N' Roses,November Rain
Pink Floyd,Comfortably Numb
The Cure,Boys Don't Cry
Pink Floyd,Wish You Were Here
The Beatles,Let It Be
Red Hot Chili Peppers,Under the Bridge
The Police,Every Breath You Take
AC/DC,Highway to Hell
