"artist","title"
"Michael Marcagi","Scared To Start"
"Fleetwood Mac","The Chain"
"Radiohead","Creep"
"Foo Fighters","Best of You"
"Red Hot Chili Peppers","Snow (Hey Oh)"
"Journey","Don't Stop Believin'"
"Moop Mama","Liebe"
"Jack Johnson","Sitting, Waiting, Wishing"
"Daddy Yankee","Lo que Paso, Paso"
"Bebe","Malo"
"DJ Bobo","Everybody"
"Blümchen","Blaue Augen"
"Scooter","Hyper, Hyper"
"El Profesor","Bella ciao - HUGEL Remix"
"The Police","So Lonely"
"Robin Schulz","Speechless (feat. Erika Sirola)"
"Will Smith","Gettin' jiggy with it"
"Ja Rle","Always on time"
"Skeewiff","Don't Rock the boat (Bart & Baker Remix)"
"Bob Marley","Could you be loved"
"Klingande","Jubel - Radio Edit"
"Jupiter Jones","Rennen + Stolpern"
"Die Fantastischen Vier","Die Da!?!"
"Loona","Bailando"
"Andreas Gabalier","Hulapalu - Harris & Ford Radio Edit"
"Toto","I won't hold you back"
"Phil Collins","Against all odds (take a look at me now)"
"Intelligency","Август"
"Querbeat","Tschingderassabum"
"As I lay dying","Blinded"
"Parkway Drive","Glitch"
"System of a Down","Chop Suey!"
"Milow","Don't turn around"
"Seeed","King Rodriguez"
"Adele","Set Fire to the Rain"
"Beyoncé","Crazy in Love"
"Gyûki, Calmas Records","Sunset Trip"
"M/A/R/R/S","Pump Up the Volume - UK 12" Remix"
"Fairground Attraction","Perfect"
"Nina Hagen","Du hast den Farbfilm vergessen"
"HAIM","Better Off"
"BØRNS","Electric Love"
