Interpret;Titel
Sinead O'Connor;Nothing Compares 2 U
The Beatles;Hey Jude
Bryan Adams;(Everything I Do) I Do it For You
Whitney Houston;I Will Always Love You
Irene Cara;Flashdance... What a Feeling
Elton John;Candle in the Wind '97
Coolio;Gangsta's Paradise
Eminem;Lose Yourself
Cher;Believe
Usher;Yeah!
The Beatles;Let it Be
Procol Harum;A Whiter Shade of Pale
Bee Gees;Stayin' Alive
Leona Lewis;Bleeding Love
The Police;Every Breath You Take
Kim Carnes;Bette Davis Eyes
Rihanna & Jay-Z;Umbrella
George Harrison;My Sweet Lord
Abba;Dancing Queen
P Diddy & Faith Evans;I'll Be Missing You
Britney Spears;Baby One More Time
The Beatles;I Want to Hold Your Hand
Michael Jackson;Billie Jean
Bobby Darin;Mack the Knife
John Travolta & Olivia Newton-John;You're the One That I Want
USA For Africa;We Are the World
Hanson;Mmmbop
Madonna;Vogue
Spice Girls;Wannabe
Roy Orbison;Oh, Pretty Woman
Eminem;Without Me
The Village People;YMCA
Stevie Wonder;I Just Called to Say I Love You
George Michael;Careless Whisper
John Lennon;Imagine
Survivor;Eye of the Tiger
Los Del Rio;Macarena
Elvis Presley;Are You Lonesome Tonight?
UB40;Can't Help Falling in Love
OutKast;Hey Ya!
Queen;Bohemian Rhapsody
Barbra Streisand;A Woman in Love
Katy Perry;I Kissed A Girl
Judy Garland;Over the Rainbow
Elvis Presley;It's Now Or Never
No Doubt;Don't Speak
Shakira & Wyclef Jean;Hips don't lie
50 Cent;In Da Club
Kylie Minogue;Can't Get You Out of My Head
The Black Eyed Peas;Where is the Love?
The Rolling Stones;Angie
Mungo Jerry;In the Summertime
Lady GaGa;Poker Face
Ace of Base;The Sign
Carl Douglas;Kung Fu Fighting
Justin Timberlake;Sexyback
Madonna;Hung Up
Elvis Presley;Jailhouse Rock
The Beatles;Help!
The Monkees;I'm a Believer
Rihanna & Calvin Harris;We Found Love
Frank Sinatra;Strangers in the Night
Bruce Springsteen;Streets of Philadelphia
The Righteous Brothers;Unchained Melody
All-4-One;I Swear
Glenn Miller;In the Mood
Flo-Rida & T-Pain;Low
Nat King Cole;Mona Lisa
Terry Jacks;Seasons in the Sun
Culture Club;Karma Chameleon
Aerosmith;I Don't Want to Miss a Thing
Blondie;Heart of Glass
Boyz II Men;End of the Road
The Fugees;Killing Me Softly With His Song
Fergie;Big Girls Don't Cry
Shocking Blue;Venus
Eagles;Hotel California
Bing Crosby;Swinging On a Star
The Beatles;All You Need is Love
Chubby Checker;The Twist
Nelly & Kelly Rowland;Dilemma
The Beatles;She Loves You
Beyonce;Crazy in Love
The Black Eyed Peas;I Gotta Feeling
Culture Club;Do You Really Want to Hurt Me?
Brandy & Monica;The Boy is Mine
Madonna;Like a Prayer
Sean Kingston;Beautiful Girls
Prince;When Doves Cry
